PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,108,1,22.0,1,0,523,7.25,147,2
2,1,1,190,0,38.0,1,0,596,71.2833,81,0
3,1,3,353,0,26.0,0,0,669,7.925,147,2
4,1,1,272,0,35.0,1,0,49,53.1,55,2
5,0,3,15,1,35.0,0,0,472,8.05,147,2
6,0,3,554,1,,0,0,275,8.4583,147,1
7,0,1,515,1,54.0,0,0,85,51.8625,129,2
8,0,3,624,1,2.0,3,1,395,21.075,147,2
9,1,3,412,0,27.0,0,2,344,11.1333,147,2
10,1,2,576,0,14.0,1,0,132,30.0708,147,0
11,1,3,727,0,4.0,1,1,616,16.7,145,2
12,1,1,95,0,58.0,0,0,38,26.55,49,2
13,0,3,729,1,20.0,0,0,535,8.05,147,2
14,0,3,28,1,39.0,1,5,333,31.275,147,2
15,0,3,840,0,14.0,0,0,413,7.8542,147,2
16,1,2,359,0,55.0,0,0,153,16.0,147,2
17,0,3,682,1,2.0,4,1,480,29.125,147,1
18,1,2,867,1,,0,0,151,13.0,147,2
19,0,3,839,0,31.0,1,0,301,18.0,147,2
20,1,3,512,0,,0,0,184,7.225,147,0
21,0,2,273,1,35.0,0,0,139,26.0,147,2
22,1,2,80,1,34.0,0,0,152,13.0,111,2
23,1,3,523,0,15.0,0,0,278,8.0292,147,1
24,1,1,765,1,28.0,0,0,42,35.5,13,2
25,0,3,626,0,8.0,3,1,395,21.075,147,2
26,1,3,44,0,38.0,1,5,329,31.3875,147,2
27,0,3,240,1,,0,0,179,7.225,147,0
28,0,1,260,1,19.0,3,2,95,263.0,63,2
29,1,3,605,0,,0,0,283,7.8792,147,1
30,0,3,813,1,,0,0,362,7.8958,147,2
31,0,1,828,1,40.0,0,0,598,27.7208,147,0
32,1,1,776,0,,1,0,586,146.5208,41,0
33,1,3,289,0,,0,0,288,7.75,147,1
34,0,2,856,1,66.0,0,0,549,10.5,147,2
35,0,1,535,1,28.0,1,0,600,82.1708,147,0
36,0,1,372,1,42.0,1,0,43,52.0,147,2
37,1,3,505,1,,0,0,202,7.2292,147,0
38,0,3,134,1,21.0,0,0,514,8.05,147,2
39,0,3,837,0,18.0,2,0,302,18.0,147,2
40,1,3,589,0,14.0,1,0,186,11.2417,147,0
41,0,3,7,0,40.0,1,0,507,9.475,147,2
42,0,2,827,0,27.0,1,0,53,21.0,147,2
43,0,3,446,1,,0,0,391,7.8958,147,0
44,1,2,456,0,3.0,1,2,634,41.5792,147,0
45,1,3,212,0,19.0,0,0,282,7.8792,147,1
46,0,3,697,1,,0,0,617,8.05,147,2
47,0,3,473,1,,1,0,462,15.5,147,1
48,1,3,604,0,,0,0,76,7.75,147,1
49,0,3,726,1,,2,0,190,21.6792,147,0
50,0,3,38,0,18.0,1,0,377,17.8,147,2
51,0,3,629,1,7.0,4,1,249,39.6875,147,2
52,0,3,594,1,21.0,0,0,522,7.8,147,2
53,1,1,333,0,49.0,1,0,587,76.7292,101,0
54,1,2,246,0,29.0,1,0,239,26.0,147,2
55,0,1,620,1,65.0,0,1,29,61.9792,23,0
56,1,1,873,1,,0,0,94,35.5,71,2
57,1,2,707,0,21.0,0,0,555,10.5,147,2
58,0,3,595,1,28.5,0,0,215,7.2292,147,0
59,1,2,853,0,5.0,1,2,561,27.75,147,2
60,0,3,299,1,11.0,5,2,566,46.9,147,2
61,0,3,749,1,22.0,0,0,197,7.2292,147,0
62,1,1,385,0,38.0,0,0,32,80.0,21,3
63,0,1,337,1,45.0,1,0,457,83.475,80,2
64,0,3,755,1,4.0,3,2,337,27.9,147,2
65,0,1,784,1,,0,0,601,27.7208,147,0
66,1,3,560,1,,1,1,189,15.2458,147,0
67,1,2,596,0,29.0,0,0,553,10.5,142,2
68,0,3,185,1,19.0,0,0,623,8.1583,147,2
69,1,3,25,0,17.0,4,2,248,7.925,147,2
70,0,3,440,1,26.0,2,0,270,8.6625,147,2
71,0,2,396,1,32.0,0,0,557,10.5,147,2
72,0,3,300,0,16.0,5,2,566,46.9,147,2
73,0,2,376,1,21.0,0,0,621,73.5,147,2
74,0,3,161,1,26.0,1,0,204,14.4542,147,0
75,1,3,87,1,32.0,0,0,80,56.4958,147,2
76,0,3,546,1,25.0,0,0,347,7.65,140,2
77,0,3,778,1,,0,0,355,7.8958,147,2
78,0,3,563,1,,0,0,473,8.05,147,2
79,1,2,127,1,0.83,0,2,158,29.0,147,2
80,1,3,223,0,30.0,0,0,432,12.475,147,2
81,0,3,842,1,22.0,0,0,304,9.0,147,2
82,1,3,737,1,29.0,0,0,311,9.5,147,2
83,1,3,519,0,,0,0,280,7.7875,147,1
84,0,1,141,1,28.0,0,0,25,47.1,147,2
85,1,2,386,0,17.0,0,0,637,10.5,147,2
86,1,3,52,0,33.0,3,0,247,15.85,147,2
87,0,3,255,1,16.0,1,3,676,34.375,147,2
88,0,3,764,1,,0,0,652,8.05,147,2
89,1,1,259,0,23.0,3,2,95,263.0,63,2
90,0,3,149,1,24.0,0,0,297,8.05,147,2
91,0,3,159,1,29.0,0,0,298,8.05,147,2
92,0,3,31,1,20.0,0,0,341,7.8542,147,2
93,0,1,150,1,46.0,1,0,678,61.175,122,2
94,0,3,209,1,26.0,1,2,548,20.575,147,2
95,0,3,184,1,59.0,0,0,428,7.25,147,2
96,0,3,740,1,,0,0,475,8.05,147,2
97,0,1,292,1,71.0,0,0,607,34.6542,12,0
98,1,1,308,1,23.0,0,1,612,63.3583,91,0
99,1,2,219,0,34.0,0,1,117,23.0,147,2
100,0,2,422,1,34.0,1,0,150,26.0,147,2
101,0,3,656,0,28.0,0,0,384,7.8958,147,2
102,0,3,658,1,,0,0,361,7.8958,147,2
103,0,1,858,1,21.0,0,1,417,77.2875,98,2
104,0,3,405,1,33.0,0,0,505,8.6542,147,2
105,0,3,312,1,37.0,2,0,245,7.925,147,2
106,0,3,542,1,28.0,0,0,354,7.8958,147,2
107,1,3,724,0,21.0,0,0,296,7.65,147,2
108,1,3,559,1,,0,0,254,7.775,147,2
109,0,3,675,1,38.0,0,0,388,7.8958,147,2
110,1,3,552,0,,1,0,469,24.15,147,1
111,0,1,667,1,47.0,0,0,2,52.0,52,2
112,0,3,882,0,14.5,1,0,193,14.4542,147,0
113,0,3,67,1,22.0,0,0,274,8.05,147,2
114,0,3,417,0,20.0,1,0,491,9.825,147,2
115,0,3,46,0,17.0,0,0,176,14.4583,147,0
116,0,3,645,1,21.0,0,0,666,7.925,147,2
117,0,3,178,1,70.5,0,0,460,7.75,147,1
118,0,2,826,1,29.0,1,0,53,21.0,147,2
119,0,1,70,1,24.0,0,1,585,247.5208,36,0
120,0,3,24,0,2.0,4,2,333,31.275,147,2
121,0,2,362,1,21.0,2,0,621,73.5,147,2
122,0,3,551,1,,0,0,540,8.05,147,2
123,0,2,575,1,32.5,1,0,132,30.0708,147,0
124,1,2,848,0,32.5,0,0,219,13.0,116,2
125,0,1,857,1,54.0,0,1,417,77.2875,98,2
126,1,3,588,1,12.0,1,0,186,11.2417,147,0
127,0,3,525,1,,0,0,463,7.75,147,1
128,1,3,499,1,24.0,0,0,541,7.1417,147,2
129,1,3,653,0,,1,1,196,22.3583,138,0
130,0,3,234,1,45.0,0,0,318,6.975,147,2
131,0,3,225,1,33.0,0,0,380,7.8958,147,0
132,0,3,165,1,20.0,0,0,640,7.05,147,2
133,0,3,695,0,47.0,1,0,537,14.5,147,2
134,1,2,851,0,29.0,1,0,111,26.0,147,2
135,0,2,772,1,25.0,0,0,552,13.0,147,2
136,0,2,685,1,23.0,0,0,630,15.0458,147,0
137,1,1,585,0,19.0,0,2,55,26.2833,107,2
138,0,1,271,1,37.0,1,0,49,53.1,55,2
139,0,3,618,1,16.0,0,0,504,9.2167,147,2
140,0,1,282,1,24.0,0,0,592,79.2,45,0
141,0,3,99,0,,0,2,203,15.2458,147,0
142,1,3,597,0,22.0,0,0,332,7.75,147,2
143,1,3,319,0,24.0,1,0,668,15.85,147,2
144,0,3,116,1,19.0,0,0,438,6.75,147,1
145,0,2,32,1,18.0,0,0,118,11.5,147,2
146,0,2,586,1,19.0,1,1,558,36.75,147,2
147,1,3,29,1,27.0,0,0,405,7.7958,147,2
148,0,3,254,0,9.0,2,2,676,34.375,147,2
149,0,2,580,1,36.5,0,2,113,26.0,141,2
150,0,2,121,1,42.0,0,0,147,13.0,147,2
151,0,2,68,1,51.0,0,0,622,12.525,147,2
152,1,1,643,0,22.0,1,0,36,66.6,61,2
153,0,3,532,1,55.5,0,0,516,8.05,147,2
154,0,3,889,1,40.5,0,2,538,14.5,147,2
155,0,3,612,1,,0,0,573,7.3125,147,2
156,0,1,866,1,51.0,0,1,595,61.3792,147,0
157,1,3,287,0,16.0,0,0,418,7.7333,147,1
158,0,3,181,1,30.0,0,0,654,8.05,147,2
159,0,3,767,1,,0,0,258,8.6625,147,2
160,0,3,716,1,,8,2,568,69.55,147,2
161,0,3,186,1,44.0,0,1,470,16.1,147,2
162,1,2,847,0,40.0,0,0,559,15.75,147,2
163,0,3,82,1,26.0,0,0,323,7.775,147,2
164,0,3,129,1,17.0,0,0,265,8.6625,147,2
165,0,3,628,1,1.0,4,1,249,39.6875,147,2
166,1,3,293,1,9.0,0,2,423,20.525,147,2
167,1,1,157,0,,0,1,28,55.0,123,2
168,0,3,760,0,45.0,1,4,337,27.9,147,2
169,0,1,69,1,,0,0,576,25.925,147,2
170,0,3,486,1,28.0,0,0,80,56.4958,147,2
171,0,1,832,1,61.0,0,0,5,33.5,18,2
172,0,3,680,1,4.0,4,1,480,29.125,147,1
173,1,3,408,0,1.0,1,1,344,11.1333,147,2
174,0,3,752,1,21.0,0,0,659,7.925,147,2
175,0,1,769,1,56.0,0,0,90,30.6958,14,0
176,0,3,444,1,18.0,1,1,412,7.8542,147,2
177,0,3,464,1,,3,1,488,25.4667,147,2
178,0,1,388,0,50.0,0,0,593,28.7125,69,0
179,0,2,320,1,30.0,0,0,169,13.0,147,2
180,0,3,474,1,36.0,0,0,574,0.0,147,2
181,0,3,717,0,,8,2,568,69.55,147,2
182,0,2,650,1,,0,0,629,15.05,147,0
183,0,3,41,1,9.0,4,2,329,31.3875,147,2
184,1,2,76,1,1.0,2,1,114,39.0,144,2
185,1,3,441,0,4.0,0,2,271,22.025,147,2
186,0,1,700,1,,0,0,34,50.0,9,2
187,1,3,601,0,,1,0,459,15.5,147,1
188,1,1,698,1,45.0,0,0,11,26.55,147,2
189,0,3,101,1,40.0,1,1,435,15.5,147,1
190,0,3,823,1,36.0,0,0,386,7.8958,147,2
191,1,2,664,0,32.0,0,0,122,13.0,147,2
192,0,2,136,1,19.0,0,0,227,13.0,147,2
193,1,3,20,0,19.0,1,0,406,7.8542,147,2
194,1,2,579,1,3.0,1,1,113,26.0,141,2
195,1,1,113,0,44.0,0,0,604,27.7208,28,0
196,1,1,495,0,58.0,0,0,586,146.5208,43,0
197,0,3,533,1,,0,0,452,7.75,147,1
198,0,3,611,1,42.0,0,1,494,8.4042,147,2
199,1,3,497,0,,0,0,461,7.75,147,1
200,0,2,881,0,24.0,0,0,160,13.0,147,2
201,0,3,834,1,28.0,0,0,306,9.5,147,2
202,0,3,721,1,,8,2,568,69.55,147,2
203,0,3,403,1,34.0,0,0,242,6.4958,147,2
204,0,3,878,1,45.5,0,0,177,7.225,147,0
205,1,3,166,1,18.0,0,0,530,8.05,147,2
206,0,3,789,0,2.0,0,1,316,10.4625,145,2
207,0,3,51,1,32.0,1,0,247,15.85,147,2
208,1,3,9,1,26.0,0,0,216,18.7875,147,0
209,1,3,140,0,16.0,0,0,445,7.75,147,1
210,1,1,94,1,40.0,0,0,17,31.0,8,0
211,0,3,12,1,24.0,0,0,642,7.05,147,2
212,1,2,131,0,35.0,0,0,570,21.0,147,2
213,0,3,649,1,22.0,0,0,526,7.25,147,2
214,0,2,288,1,30.0,0,0,163,13.0,147,2
215,0,3,437,1,,1,0,443,7.75,147,1
216,1,1,582,0,31.0,1,0,416,113.275,103,0
217,1,3,375,0,27.0,0,0,670,7.925,147,2
218,0,2,390,1,42.0,1,0,142,27.0,147,2
219,1,1,72,0,32.0,0,0,63,76.2917,93,0
220,0,2,338,1,30.0,0,0,679,10.5,147,2
221,1,3,791,1,16.0,0,0,653,8.05,147,2
222,0,2,105,1,27.0,0,0,105,13.0,147,2
223,0,3,306,1,51.0,0,0,102,8.05,147,2
224,0,3,581,1,,0,0,375,7.8958,147,2
225,1,1,379,1,38.0,1,0,93,90.0,87,2
226,0,3,83,1,22.0,0,0,615,9.35,147,2
227,1,2,531,1,19.0,0,0,672,10.5,147,2
228,0,3,492,1,20.5,0,0,525,7.25,147,2
229,0,2,243,1,18.0,0,0,125,13.0,147,2
230,0,3,467,0,,3,1,488,25.4667,147,2
231,1,1,339,0,35.0,1,0,457,83.475,80,2
232,0,3,460,1,29.0,0,0,322,7.775,147,2
233,0,2,754,1,59.0,0,0,128,13.5,147,2
234,1,3,43,0,5.0,4,2,329,31.3875,147,2
235,0,2,479,1,24.0,0,0,554,10.5,147,2
236,0,3,329,0,,0,0,677,7.55,147,2
237,0,2,370,1,44.0,1,0,198,26.0,147,2
238,1,2,172,0,8.0,0,2,556,26.25,147,2
239,0,2,648,1,19.0,0,0,231,10.5,147,2
240,0,2,383,1,33.0,0,0,636,12.275,147,2
241,0,3,883,0,,1,0,193,14.4542,147,0
242,1,3,567,0,,1,0,444,15.5,147,1
243,0,2,169,1,29.0,0,0,674,10.5,147,2
244,0,3,500,1,22.0,0,0,658,7.125,147,2
245,0,3,47,1,30.0,0,0,213,7.225,147,0
246,0,1,539,1,44.0,2,0,92,90.0,78,1
247,0,3,481,0,25.0,0,0,325,7.775,147,2
248,1,2,322,0,24.0,0,2,166,14.5,147,2
249,1,1,78,1,37.0,1,1,54,52.5542,102,2
250,0,2,147,1,54.0,1,0,144,26.0,147,2
251,0,3,673,1,,0,0,422,7.25,147,2
252,0,3,790,0,29.0,1,1,316,10.4625,145,2
253,0,1,782,1,62.0,0,0,31,26.55,83,2
254,0,3,487,1,30.0,1,0,536,16.1,147,2
255,0,3,702,0,41.0,0,2,458,20.2125,147,2
256,1,3,819,0,29.0,0,2,185,15.2458,147,0
257,1,1,808,0,,0,0,589,79.2,147,0
258,1,1,156,0,30.0,0,0,0,86.5,40,2
259,1,1,844,0,35.0,0,0,608,512.3292,147,0
260,1,2,636,0,50.0,0,1,115,26.0,147,2
261,0,3,771,1,,0,0,482,7.75,147,1
262,1,3,42,1,3.0,4,2,329,31.3875,147,2
263,0,1,799,1,52.0,1,1,1,79.65,134,2
264,0,1,340,1,40.0,0,0,16,0.0,46,2
265,0,3,356,0,,0,0,478,7.75,147,1
266,0,2,674,1,36.0,0,0,546,10.5,147,2
267,0,3,631,1,16.0,4,1,249,39.6875,147,2
268,1,3,652,1,25.0,1,0,334,7.775,147,2
269,1,1,305,0,58.0,0,1,588,153.4625,57,2
270,1,1,91,0,35.0,0,0,613,135.6333,89,2
271,0,1,125,1,,0,0,47,31.0,147,2
272,1,3,817,1,25.0,0,0,574,0.0,147,2
273,1,2,530,0,41.0,0,1,162,19.5,147,2
274,0,1,577,1,37.0,0,1,594,29.7,54,0
275,1,3,350,0,,0,0,465,7.75,147,1
276,1,1,33,0,63.0,1,0,71,77.9583,113,2
277,0,3,482,0,45.0,0,0,326,7.75,147,2
278,0,2,634,1,,0,0,135,0.0,147,2
279,0,3,681,1,7.0,4,1,480,29.125,147,1
280,1,3,2,0,35.0,1,1,551,20.25,147,2
281,0,3,227,1,65.0,0,0,290,7.75,147,1
282,0,3,614,1,28.0,0,0,340,7.8542,147,2
283,0,3,887,1,16.0,0,0,310,9.5,147,2
284,1,3,221,1,19.0,0,0,533,8.05,147,2
285,0,1,770,1,,0,0,24,26.0,3,2
286,0,3,779,1,33.0,0,0,378,8.6625,147,0
287,1,3,886,1,30.0,0,0,308,9.5,147,2
288,0,3,570,1,22.0,0,0,353,7.8958,147,2
289,1,2,378,1,42.0,0,0,134,13.0,147,2
290,1,3,177,0,22.0,0,0,464,7.75,147,1
291,1,1,65,0,26.0,0,0,91,78.85,147,2
292,1,1,90,0,19.0,1,0,64,91.0792,31,0
293,0,2,477,1,36.0,0,0,635,12.875,90,0
294,0,3,315,0,24.0,0,0,376,8.85,147,2
295,0,3,541,1,24.0,0,0,374,7.8958,147,2
296,0,1,478,1,,0,0,606,27.7208,147,0
297,0,3,324,1,23.5,0,0,212,7.2292,147,0
298,0,1,17,0,2.0,1,2,37,151.55,62,2
299,1,1,714,1,,0,0,98,30.5,51,2
300,1,1,71,0,50.0,0,1,585,247.5208,36,0
301,1,3,431,0,,0,0,513,7.75,147,1
302,1,3,518,1,,2,0,441,23.25,147,1
303,0,3,411,1,19.0,0,0,574,0.0,147,2
304,1,2,428,0,,0,0,109,12.35,116,1
305,0,3,868,1,,0,0,527,8.05,147,2
306,1,1,16,1,0.92,1,2,37,151.55,62,2
307,1,1,248,0,,0,0,83,110.8833,147,0
308,1,1,647,0,17.0,1,0,611,108.9,74,0
309,0,2,3,1,30.0,1,0,575,24.0,147,0
310,1,1,263,0,30.0,0,0,584,56.9292,125,0
311,1,1,348,0,24.0,0,0,59,83.1583,72,0
312,1,1,710,0,18.0,2,2,602,262.375,35,0
313,0,2,449,0,26.0,1,1,167,26.0,147,2
314,0,3,355,1,28.0,0,0,382,7.8958,147,2
315,0,2,342,1,43.0,1,1,571,26.25,147,2
316,1,3,590,0,26.0,0,0,343,7.8542,147,2
317,1,2,423,0,24.0,1,0,150,26.0,147,2
318,0,2,555,1,54.0,0,0,232,14.0,147,2
319,1,1,859,0,31.0,0,2,453,164.8667,76,2
320,1,1,775,0,40.0,1,1,81,134.5,124,0
321,0,3,211,1,22.0,0,0,524,7.25,147,2
322,0,3,200,1,27.0,0,0,365,7.8958,147,2
323,1,2,762,0,30.0,0,0,124,12.35,147,1
324,1,2,128,0,22.0,1,1,158,29.0,147,2
325,0,3,722,1,,8,2,568,69.55,147,2
326,1,1,877,0,36.0,0,0,613,135.6333,65,0
327,0,3,598,1,61.0,0,0,299,6.2375,147,2
328,1,2,60,0,36.0,0,0,229,13.0,90,2
329,1,3,295,0,31.0,1,1,423,20.525,147,2
330,1,1,363,0,16.0,0,1,7,57.9792,17,0
331,1,3,517,0,,2,0,441,23.25,147,1
332,0,1,637,1,45.5,0,0,20,28.5,56,2
333,0,1,304,1,38.0,0,1,588,153.4625,85,2
334,0,3,838,1,16.0,2,0,302,18.0,147,2
335,1,1,265,0,,1,0,605,133.65,147,2
336,0,3,210,1,,0,0,370,7.8958,147,2
337,0,1,642,1,29.0,1,0,36,66.6,61,2
338,1,1,117,0,41.0,0,0,81,134.5,127,0
339,1,3,192,1,45.0,0,0,510,8.05,147,2
340,0,1,93,1,45.0,0,0,39,35.5,146,2
341,1,2,578,1,2.0,1,1,113,26.0,141,2
342,1,1,258,0,24.0,3,2,95,263.0,63,2
343,0,2,170,1,28.0,0,0,159,13.0,147,2
344,0,2,733,1,25.0,0,0,149,13.0,147,2
345,0,2,262,1,36.0,0,0,112,13.0,147,2
346,1,2,111,0,24.0,0,0,157,13.0,142,2
347,1,2,768,0,40.0,0,0,257,13.0,147,2
348,1,3,207,0,,1,0,483,16.1,147,2
349,1,3,183,1,3.0,1,1,562,15.9,147,2
350,0,3,215,1,42.0,0,0,262,8.6625,147,2
351,0,3,608,1,23.0,0,0,503,9.225,147,2
352,0,1,870,1,,0,0,30,35.0,59,2
353,0,3,237,1,15.0,1,1,214,7.2292,147,0
354,0,3,37,1,25.0,1,0,377,17.8,147,2
355,0,3,879,1,,0,0,182,7.225,147,0
356,0,3,835,1,28.0,0,0,314,9.5,147,2
357,1,1,104,0,22.0,0,1,28,55.0,123,2
358,0,2,270,0,38.0,0,0,131,13.0,147,2
359,1,3,522,0,,0,0,279,7.8792,147,1
360,1,3,545,0,,0,0,285,7.8792,147,1
361,0,3,759,1,40.0,1,4,337,27.9,147,2
362,0,2,888,1,29.0,1,0,633,27.7208,147,0
363,0,3,64,0,45.0,0,1,211,14.4542,147,0
364,0,3,40,1,35.0,0,0,641,7.05,147,2
365,0,3,599,1,,1,0,459,15.5,147,1
366,0,3,5,1,30.0,0,0,544,7.25,147,2
367,1,1,845,0,60.0,1,0,4,75.25,104,0
368,1,3,562,0,,0,0,175,7.2292,147,0
369,1,3,400,0,,0,0,78,7.75,147,1
370,1,1,48,0,24.0,0,0,581,69.3,24,0
371,1,1,328,1,25.0,1,0,58,55.4417,131,0
372,0,3,863,1,18.0,1,0,244,6.4958,147,2
373,0,3,75,1,19.0,0,0,273,8.05,147,2
374,0,1,690,1,22.0,0,0,613,135.6333,147,0
375,0,3,625,0,3.0,3,1,395,21.075,147,2
376,1,1,536,0,,1,0,600,82.1708,147,0
377,1,3,454,0,22.0,0,0,545,7.25,147,2
378,0,1,862,1,27.0,0,2,27,211.5,79,0
379,0,3,85,1,20.0,0,0,183,4.0125,147,0
380,0,3,314,1,19.0,0,0,324,7.775,147,2
381,1,1,86,0,42.0,0,0,610,227.525,147,0
382,1,3,572,0,1.0,0,2,187,15.7417,147,0
383,0,3,811,1,32.0,0,0,665,7.925,147,2
384,1,1,373,0,35.0,1,0,43,52.0,147,2
385,0,3,665,1,,0,0,371,7.8958,147,2
386,0,2,205,1,18.0,0,0,621,73.5,147,2
387,0,3,298,1,1.0,5,2,566,46.9,147,2
388,1,2,118,0,36.0,0,0,220,13.0,147,2
389,0,3,715,1,,0,0,447,7.7292,147,1
390,1,2,468,0,17.0,0,0,625,12.0,147,0
391,1,1,144,1,36.0,1,2,33,120.0,47,2
392,1,3,393,1,21.0,0,0,401,7.7958,147,2
393,0,3,313,1,28.0,2,0,246,7.925,147,2
394,1,1,583,0,23.0,1,0,416,113.275,103,0
395,1,3,728,0,24.0,0,2,616,16.7,145,2
396,0,3,404,1,22.0,0,0,410,7.7958,147,2
397,0,3,613,0,31.0,0,0,414,7.8542,147,2
398,0,2,524,1,46.0,0,0,226,26.0,147,2
399,0,2,623,1,23.0,0,0,146,10.5,147,2
400,1,2,821,0,28.0,0,0,140,12.65,147,2
401,1,3,592,1,39.0,0,0,663,7.925,147,2
402,0,3,6,1,26.0,0,0,292,8.05,147,2
403,0,3,418,0,21.0,1,0,492,9.825,147,2
404,0,3,318,1,28.0,1,0,668,15.85,147,2
405,0,3,616,0,20.0,0,0,267,8.6625,147,2
406,0,2,274,1,34.0,1,0,230,21.0,147,2
407,0,3,861,1,51.0,0,0,321,7.75,147,2
408,1,2,687,1,3.0,1,1,237,18.75,147,2
409,0,3,88,1,21.0,0,0,255,7.775,147,2
410,0,3,465,0,,3,1,488,25.4667,147,2
411,0,3,732,1,,0,0,367,7.8958,147,2
412,0,3,343,1,,0,0,487,6.8583,147,1
413,1,1,540,0,33.0,1,0,92,90.0,78,1
414,0,2,191,1,,0,0,135,0.0,147,2
415,1,3,792,1,44.0,0,0,655,7.925,147,2
416,0,3,528,0,,0,0,295,8.05,147,2
417,1,2,226,0,34.0,1,1,224,32.5,147,2
418,1,2,742,0,18.0,0,2,168,13.0,147,2
419,0,2,513,1,30.0,0,0,225,13.0,147,2
420,0,3,829,0,10.0,0,2,307,24.15,147,2
421,0,3,281,1,,0,0,392,7.8958,147,0
422,0,3,155,1,21.0,0,0,534,7.7333,147,1
423,0,3,884,1,29.0,0,0,259,7.875,147,2
424,0,3,198,0,28.0,1,1,331,14.4,147,2
425,0,3,701,1,18.0,1,1,458,20.2125,147,2
426,0,3,872,1,,0,0,521,7.25,147,2
427,1,2,162,0,28.0,1,0,100,26.0,147,2
428,1,2,662,0,19.0,0,0,170,26.0,147,2
429,0,3,249,1,,0,0,437,7.75,147,1
430,1,3,663,1,32.0,0,0,644,8.05,115,2
431,1,1,92,1,28.0,0,0,3,26.55,71,2
432,1,3,810,0,,1,0,476,16.1,147,2
433,1,2,491,0,42.0,1,0,627,26.0,147,2
434,0,3,420,1,17.0,0,0,657,7.125,147,2
435,0,1,744,1,50.0,1,0,72,55.9,128,2
436,1,1,143,0,14.0,1,2,33,120.0,47,2
437,0,3,253,0,21.0,2,2,676,34.375,147,2
438,1,2,688,0,24.0,2,3,237,18.75,147,2
439,0,1,261,1,64.0,1,4,95,263.0,63,2
440,0,2,447,1,31.0,0,0,547,10.5,147,2
441,1,2,344,0,45.0,1,1,571,26.25,147,2
442,0,3,323,1,20.0,0,0,305,9.5,147,2
443,0,3,659,1,25.0,1,0,328,7.775,147,2
444,1,2,679,0,28.0,0,0,116,13.0,147,2
445,1,3,402,1,,0,0,499,8.1125,147,2
